"base_name","description","parent","is_group","disabled"
"方管","方形空心型钢","管材",0,0
"圆管","圆形结构管","管材",0,0
"直缝焊管","","管材",0,0
"不锈钢管","","管材",0,0
"深沟球轴承","最通用的轴承","轴承",0,0
"带座轴承","","轴承",0,0
"传动轴","","轴类",0,0
"小齿轮轴","","轴类",0,0
"托轮轴","","轴类",0,0
"微型断路器","","电气件",0,0
"电缆","","电气件",0,0
"电线","","电气件",0,0
"硬齿面减速机","","减速机",0,0
"行星减速机","","减速机",0,0
"摆线针轮","","减速机",0,0
"电机","","动力设备",1,0
"三相异步电动机","","电机",0,0
"紧固件","所有标准紧固件的根目录","",1,0
"螺栓","","紧固件",1,0
"内六角圆柱头螺钉","对应 GB/T 70.1 (杯头螺丝)","螺栓",0,0
"沉头螺钉","对应 GB/T 819 等","螺栓",0,0
"紧定螺钉","俗称机米螺丝","螺栓",0,0
"六角头螺栓","对应 GB/T 5780, 5782, 5783 等","螺栓",0,0
"螺母","","紧固件",1,0
"六角螺母","对应 GB/T 6170 等","螺母",0,0
"法兰面螺母","自带垫圈功能的螺母","螺母",0,0
"I型六角螺母","","螺母",0,0
"垫圈","","紧固件",1,0
"平垫圈","对应 GB/T 97.1 等","垫圈",0,0
"弹簧垫圈","对应 GB/T 93 等","垫圈",0,0
"轴用挡圈","俗称卡簧，对应 GB/T 894","紧固件",0,0
"原材料","所有金属原材料的根目录","",1,0
"型材","","原材料",1,0
"角钢","","型材",0,0
"槽钢","对应 GB/T 707","型材",0,0
"扁钢","","型材",0,0
"工字钢","","型材",0,0
"H 型钢","","型材",0,0
"板材","","原材料",1,0
"钢板","","板材",0,0
"衬板","","板材",1,0
"筒体衬板","","衬板",0,0
"端盖衬板","","衬板",0,0
"磨头衬板","","衬板",0,0
"隔仓篦板","","衬板",0,0
"棒材","实心圆棒、方棒、六角棒等","原材料",1,0
"圆钢","实心圆棒","棒材",0,0
"研磨介质","","原材料",1,0
"钢球","","研磨介质",0,0
"钢段","","研磨介质",0,0
"陶瓷球","","研磨介质",0,0
"耐火材料","","原材料",1,0
"耐火砖","","耐火材料",0,0
"浇注料","","耐火材料",0,0
"耐火泥","","耐火材料",0,0
"保温棉","","耐火材料",0,0
"管材","所有管状原材料","原材料",1,0
"无缝钢管","","管材",0,0
"传动件","轴承、皮带、链条等","",1,0
"小齿轮","","传动件",0,0
"普通V带","","传动件",0,0
"轴承","","传动件",1,0
"调心滚子轴承","","轴承",0,0
"推力球轴承","","轴承",0,0
"圆锥滚子轴承","","轴承",0,0
"紧定套","","传动件",0,0
"联轴器","","传动件",1,0
"弹性柱销联轴器","","联轴器",0,0
"梅花联轴器","","联轴器",0,0
"轴类","","传动件",1,0
"销轴","","轴类",0,0
"输送带","","传动件",0,0
"传动滚筒","","传动件",0,0
"改向滚筒","","传动件",0,0
"增面滚筒","","传动件",0,0
"托辊","","传动件",0,0
"密封件","O型圈、油封等","",1,0
"羊毛毡圈","","密封件",0,0
"密封条","","密封件",0,0
"盘根","","密封件",0,0
"石墨密封块","","密封件",0,0
"非标垫片","","密封件",0,0
"密封垫","","密封件",0,0
"O型圈","最基础的密封件","密封件",0,0
"回转部分","","",1,0
"大齿轮","","回转部分",0,0
"行政办公","","",1,0
"签字笔","","行政办公",0,0
"耗材","","",1,0
"电焊条","","耗材",0,0
"实心焊丝","","耗材",0,0
"药芯焊丝","","耗材",0,0
"埋弧焊丝","","耗材",0,0
"焊剂","","耗材",0,0
"电气件","","",1,0
"断路器","","电气件",0,0
"动力设备","","",1,0
"减速机","","动力设备",1,0
"液压件","","",1,0
"高压胶管总成","","液压件",0,0
"球阀","","液压件",0,0
"刀具","","",1,0
"数控刀片","","刀具",0,0
"化工辅料","","",1,0
"油漆涂料","","化工辅料",1,0
"面漆","","油漆涂料",0,0
"底漆","","油漆涂料",0,0
"固化剂","","油漆涂料",0,0
"稀释剂","","油漆涂料",0,0
"润滑油脂","","化工辅料",1,0
"液压油","","润滑油脂",0,0
"齿轮油","","润滑油脂",0,0
"润滑脂","","润滑油脂",0,0
"抗磨液压油","","润滑油脂",0,0
"胶","","化工辅料",1,0
"螺纹胶","","胶",0,0
"密封胶","","胶",0,0
"柜体","","",1,0
"控制柜","","柜体",0,0
"服务","","",1,0
"委外加工","","服务",0,0
